no,name,type_1,type_2,stage,is_final,is_legendary,is_mythical,is_ultra,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
466,Electivire,electric,,3,1,0,0,0,75,123,67,95,85,95,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
240,Magby,fire,,1,0,0,0,0,45,75,37,70,55,83,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
126,Magmar,fire,,2,0,0,0,0,65,95,57,100,85,93,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
467,Magmortar,fire,,3,1,0,0,0,75,95,67,125,95,83,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
531,Audino,normal,,1,1,0,0,0,103,60,86,60,86,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
582,Vanillite,ice,,1,0,0,0,0,36,50,50,65,60,44,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
583,Vanillish,ice,,2,0,0,0,0,51,65,65,80,75,59,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
584,Vanilluxe,ice,,3,1,0,0,0,71,95,85,110,95,79,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
361,Snorunt,ice,,1,0,0,0,0,50,50,50,50,50,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
362,Glalie,ice,,2,0,0,0,0,80,80,80,80,80,80,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
478,Froslass,ice,ghost,3,1,0,0,0,70,80,70,80,70,110,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1
215,Sneasel,dark,ice,1,0,0,0,0,55,95,55,35,75,115,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
461,Weavile,dark,ice,2,1,0,0,0,70,120,65,45,85,125,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
615,Cryogonal,ice,,1,1,0,0,0,80,50,50,95,135,105,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
459,Snover,grass,ice,1,0,0,0,0,60,62,50,62,60,40,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
460,Abomasnow,grass,ice,2,1,0,0,0,90,92,75,92,85,60,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
708,Phantump,ghost,grass,1,0,0,0,0,43,70,48,50,60,38,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1
709,Trevenant,ghost,grass,2,1,0,0,0,85,110,76,65,82,56,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1
333,Swablu,normal,flying,1,0,0,0,0,45,40,60,40,75,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
334,Altaria,dragon,flying,2,1,0,0,0,75,70,90,70,105,80,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
859,Impidimp,dark,fairy,1,0,0,0,0,45,45,30,55,40,50,1,1,1,1,1,1,1,2,1,1,0,1,1,0.5,0,0.25,2,2
860,Morgrem,dark,fairy,2,0,0,0,0,65,60,45,75,55,70,1,1,1,1,1,1,1,2,1,1,0,1,1,0.5,0,0.25,2,2
861,Grimmsnarl,dark,fairy,3,1,0,0,0,95,120,65,95,75,60,1,1,1,1,1,1,1,2,1,1,0,1,1,0.5,0,0.25,2,2
856,Hatenna,psychic,,1,0,0,0,0,42,30,45,56,53,39,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
857,Hattrem,psychic,,2,0,0,0,0,57,40,65,86,73,49,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
858,Hatterene,psychic,fairy,3,1,0,0,0,57,90,95,136,103,29,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
173,Cleffa,fairy,,1,0,0,0,0,50,25,28,45,55,15,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
35,Clefairy,fairy,,2,0,0,0,0,70,45,48,60,65,35,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
36,Clefable,fairy,,3,1,0,0,0,95,70,73,95,90,60,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
778,Mimikyu,ghost,fairy,1,1,0,0,0,55,90,80,50,105,96,0,1,1,1,1,1,0,1,1,1,1,0.25,1,2,0,1,2,1
442,Spiritomb,ghost,dark,1,1,0,0,0,50,92,108,92,108,35,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
607,Litwick,ghost,fire,1,0,0,0,0,50,30,55,65,55,20,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
608,Lampent,ghost,fire,2,0,0,0,0,60,40,60,95,60,55,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
609,Chandelure,ghost,fire,3,1,0,0,0,60,55,90,145,90,80,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
574,Gothita,psychic,,1,0,0,0,0,45,30,50,55,65,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
575,Gothorita,psychic,,2,0,0,0,0,60,45,70,75,85,55,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
576,Gothitelle,psychic,,3,1,0,0,0,70,55,95,95,110,65,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
577,Solosis,psychic,,1,0,0,0,0,45,30,40,105,50,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
578,Duosion,psychic,,2,0,0,0,0,65,40,50,125,60,30,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
579,Reuniclus,psychic,,3,1,0,0,0,110,65,75,125,85,30,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
532,Timburr,fighting,,1,0,0,0,0,75,80,55,25,35,35,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
533,Gurdurr,fighting,,2,0,0,0,0,85,105,85,40,50,40,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
534,Conkeldurr,fighting,,3,1,0,0,0,105,140,95,55,65,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
339,Barboach,water,ground,1,0,0,0,0,50,48,43,46,41,60,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
340,Whiscash,water,ground,2,1,0,0,0,110,78,73,76,71,60,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
129,Magikarp,water,,1,0,0,0,0,20,10,55,15,20,80,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
130,Gyarados,water,flying,2,1,0,0,0,95,125,79,60,100,81,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
550,Basculin,water,,1,1,0,0,0,70,92,65,80,55,98,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
29,Nidoran♀,poison,,1,0,0,0,0,55,47,52,40,40,41,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
30,Nidorina,poison,,2,0,0,0,0,70,62,67,55,55,56,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,Nidoqueen,poison,ground,3,1,0,0,0,90,92,87,75,85,76,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
32,Nidoran♂,poison,,1,0,0,0,0,46,57,40,40,40,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
33,Nidorino,poison,,2,0,0,0,0,61,72,57,55,55,65,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
34,Nidoking,poison,ground,3,0,0,0,0,81,102,77,85,75,85,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
263,Zigzagoon,normal,,1,0,0,0,0,38,30,41,30,41,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
264,Linoone,normal,,2,1,0,0,0,78,70,61,50,61,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
862,Obstagoon,dark,normal,3,0,0,0,0,93,90,101,60,81,95,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
133,Eevee,normal,,1,1,0,0,0,55,55,50,45,65,55,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
134,Vaporeon,water,,2,0,0,0,0,130,65,60,110,95,65,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
135,Jolteon,electric,,2,0,0,0,0,65,65,60,110,95,130,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
136,Flareon,fire,,2,0,0,0,0,65,130,60,95,110,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
197,Umbreon,dark,,2,0,0,0,0,95,65,110,60,130,65,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
196,Espeon,psychic,,2,0,0,0,0,65,65,60,130,95,110,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
471,Glaceon,ice,,2,0,0,0,0,65,60,110,130,95,65,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
470,Leafeon,grass,,2,0,0,0,0,65,110,130,60,65,95,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
700,Sylveon,fairy,,2,0,0,0,0,95,65,65,110,130,60,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
696,Tyrunt,rock,dragon,1,0,0,0,0,58,89,77,45,45,48,0.5,0.25,1,0.5,1,2,2,0.5,2,0.5,1,1,1,1,2,1,2,2
697,Tyrantrum,rock,dragon,2,1,0,0,0,82,121,119,69,59,71,0.5,0.25,1,0.5,1,2,2,0.5,2,0.5,1,1,1,1,2,1,2,2
698,Amaura,rock,ice,1,0,0,0,0,77,59,50,67,63,46,0.5,1,2,1,2,0.5,4,0.5,2,0.5,1,1,2,1,1,1,4,1
699,Aurorus,rock,ice,2,1,0,0,0,123,77,72,99,92,58,0.5,1,2,1,2,0.5,4,0.5,2,0.5,1,1,2,1,1,1,4,1
436,Bronzor,steel,psychic,1,0,0,0,0,57,24,86,24,86,23,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
437,Bronzong,steel,psychic,2,1,0,0,0,67,89,116,79,116,33,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
874,Stonjourner,rock,,1,1,0,0,0,100,125,135,20,20,70,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
875,Eiscue,ice,,1,1,0,0,0,75,80,70,65,50,130,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
751,Dewpider,water,bug,1,0,0,0,0,38,40,52,40,72,27,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
752,Araquanid,water,bug,2,1,0,0,0,68,70,92,50,132,42,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
595,Joltik,bug,electric,1,0,0,0,0,50,47,50,57,50,65,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,1
596,Galvantula,bug,electric,2,1,0,0,0,70,77,60,97,60,108,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,1
588,Karrablast,bug,,1,0,0,0,0,50,75,45,40,45,60,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
589,Escavalier,bug,steel,2,1,0,0,0,70,135,105,60,105,20,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
616,Shelmet,bug,,1,0,0,0,0,50,40,85,40,65,25,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
617,Accelgor,bug,,2,1,0,0,0,80,70,40,100,60,145,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
850,Sizzlipede,fire,bug,1,0,0,0,0,50,65,45,50,50,45,1,1,2,1,0.25,0.5,0.5,1,1,2,1,0.5,4,1,1,1,0.5,0.5
851,Centiskorch,fire,bug,2,1,0,0,0,100,115,65,90,90,65,1,1,2,1,0.25,0.5,0.5,1,1,2,1,0.5,4,1,1,1,0.5,0.5
632,Durant,bug,steel,1,1,0,0,0,58,109,112,48,48,109,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
631,Heatmor,fire,,1,1,0,0,0,85,97,66,105,66,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
554,Darumaka,fire,,1,0,0,0,0,70,90,45,15,45,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
555,Darmanitan,fire,,2,1,0,0,0,105,160,55,30,55,135,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
77,Ponyta,fire,,1,0,0,0,0,50,85,55,65,65,90,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,Rapidash,fire,,2,1,0,0,0,65,100,70,80,80,105,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
359,Absol,dark,,1,1,0,0,0,65,130,60,75,60,75,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
878,Cufant,steel,,1,0,0,0,0,72,80,49,40,49,40,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
879,Copperajah,steel,,2,1,0,0,0,122,130,69,80,69,30,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
885,Dreepy,dragon,ghost,1,0,0,0,0,28,60,30,40,30,82,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
886,Drakloak,dragon,ghost,2,0,0,0,0,68,80,50,60,50,102,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
887,Dragapult,dragon,ghost,3,1,0,0,0,88,120,75,100,75,142,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
371,Bagon,dragon,,1,0,0,0,0,45,75,60,40,30,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
372,Shelgon,dragon,,2,0,0,0,0,65,95,100,60,50,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
373,Salamence,dragon,flying,3,1,0,0,0,95,135,80,110,80,100,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
443,Gible,dragon,ground,1,0,0,0,0,58,70,45,40,45,42,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
444,Gabite,dragon,ground,2,0,0,0,0,68,90,65,50,55,82,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
445,Garchomp,dragon,ground,3,1,0,0,0,108,130,95,80,85,102,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
621,Druddigon,dragon,,1,1,0,0,0,77,120,90,60,90,48,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
225,Delibird,ice,flying,1,1,0,0,0,45,55,45,65,45,75,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
613,Cubchoo,ice,,1,0,0,0,0,55,70,40,60,40,40,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
614,Beartic,ice,,2,1,0,0,0,95,130,80,70,80,50,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
138,Omanyte,rock,water,1,0,0,0,0,35,40,100,90,55,35,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
139,Omastar,rock,water,2,1,0,0,0,70,60,125,115,70,55,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
140,Kabuto,rock,water,1,0,0,0,0,30,80,90,55,45,55,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
141,Kabutops,rock,water,2,1,0,0,0,60,115,105,65,70,80,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
142,Aerodactyl,rock,flying,1,1,0,0,0,80,105,65,60,75,130,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
703,Carbink,rock,fairy,1,1,0,0,0,50,50,150,50,150,50,0.5,0.5,2,1,2,1,1,1,2,0.5,1,0.5,1,1,0,0.5,4,1
374,Beldum,steel,psychic,1,0,0,0,0,40,55,80,35,60,30,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
375,Metang,steel,psychic,2,0,0,0,0,60,75,100,55,80,50,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
376,Metagross,steel,psychic,3,1,0,0,0,80,135,130,95,90,70,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
854,Sinistea,ghost,,1,0,0,0,0,40,45,45,74,54,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
855,Polteageist,ghost,,2,1,0,0,0,60,65,65,134,114,70,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
447,Riolu,fighting,,1,0,0,0,0,40,70,40,35,40,60,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
448,Lucario,fighting,steel,2,1,0,0,0,70,110,70,115,70,90,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
633,Deino,dark,dragon,1,0,0,0,0,52,65,50,45,50,38,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,4
634,Zweilous,dark,dragon,2,0,0,0,0,72,85,70,65,70,58,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,4
635,Hydreigon,dark,dragon,3,1,0,0,0,92,105,90,125,90,98,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,4
246,Larvitar,rock,ground,1,0,0,0,0,50,64,50,45,50,41,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
247,Pupitar,rock,ground,2,0,0,0,0,70,84,70,65,70,51,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
248,Tyranitar,rock,dark,3,1,0,0,0,100,134,110,95,100,61,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
712,Bergmite,ice,,1,0,0,0,0,55,69,85,32,35,28,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
713,Avalugg,ice,,2,1,0,0,0,95,117,184,44,46,28,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
41,Zubat,poison,flying,1,0,0,0,0,40,45,35,30,40,55,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
42,Golbat,poison,flying,2,0,0,0,0,75,80,70,65,75,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
169,Crobat,poison,flying,3,1,0,0,0,85,90,80,70,80,130,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
564,Tirtouga,water,rock,1,0,0,0,0,54,78,103,53,45,22,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
565,Carracosta,water,rock,2,1,0,0,0,74,108,133,83,65,32,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
566,Archen,rock,flying,1,0,0,0,0,55,112,45,74,45,70,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
567,Archeops,rock,flying,2,1,0,0,0,75,140,65,112,65,110,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
343,Baltoy,ground,psychic,1,0,0,0,0,40,40,55,40,70,55,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1
344,Claydol,ground,psychic,2,1,0,0,0,60,70,105,70,120,75,1,1,2,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,1
622,Golett,ground,ghost,1,0,0,0,0,59,74,50,35,50,35,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1
623,Golurk,ground,ghost,2,1,0,0,0,89,124,80,55,80,55,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1
835,Yamper,electric,,1,0,0,0,0,59,45,50,40,50,26,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
836,Boltund,electric,,2,1,0,0,0,69,90,60,90,60,121,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
877,Morpeko,electric,dark,1,1,0,0,0,58,95,58,70,58,97,1,1,1,0.5,1,1,2,1,2,0.5,0,2,1,0.5,1,0.5,0.5,2
871,Pincurchin,electric,,1,1,0,0,0,48,101,95,91,85,15,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
363,Spheal,ice,water,1,0,0,0,0,70,40,50,55,50,25,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
364,Sealeo,ice,water,2,0,0,0,0,90,60,70,75,70,45,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
365,Walrein,ice,water,3,1,0,0,0,110,80,90,95,90,65,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
781,Dhelmise,ghost,grass,1,1,0,0,0,70,131,100,86,90,40,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1
821,Rookidee,flying,,1,0,0,0,0,38,47,35,33,35,57,1,1,1,2,0.5,2,0.5,1,0,1,1,0.5,2,1,1,1,1,1
822,Corvisquire,flying,,2,0,0,0,0,68,67,55,43,55,77,1,1,1,2,0.5,2,0.5,1,0,1,1,0.5,2,1,1,1,1,1
823,Corviknight,flying,steel,3,1,0,0,0,98,87,105,53,85,67,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
829,Gossifleur,grass,,1,0,0,0,0,40,40,60,40,60,10,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
830,Eldegoss,grass,,2,1,0,0,0,60,50,90,80,120,60,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
546,Cottonee,grass,fairy,1,0,0,0,0,40,27,60,37,50,66,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1
547,Whimsicott,grass,fairy,2,1,0,0,0,60,67,85,77,75,116,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1
213,Shuckle,bug,rock,1,1,0,0,0,20,10,230,10,230,5,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
876,Indeedee,psychic,normal,1,1,0,0,0,70,55,65,95,105,85,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
446,Munchlax,normal,,1,0,0,0,0,135,85,40,40,85,5,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
143,Snorlax,normal,,2,1,0,0,0,160,110,65,65,110,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
302,Sableye,dark,ghost,1,1,0,0,0,50,75,75,65,65,50,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
